curveY,curveX,end point?,Place Count,place id,Rank,startY
7.923918062,128.234962025,伪,42,138,3,60.5
14.263381617,36.853012658,伪,31,480,13,-37.5
-37.496338786,111.069696203,伪,31,493,13,-37.5
14.699818369,127.650063291,伪,33,396,10,-5.8
-5.800000015,170,伪,33,388,10,-5.8
28.336120899,-15.214556962,伪,53,25,1,70
5.201748083,145.830860759,伪,33,404,10,-5.8
-5.424172015,169.403354430,伪,33,402,10,-5.8
26.417417599,68.390683544,伪,39,277,7,28.5
15.686081175,135.703189873,伪,35,365,9,6
20.488893834,34.643037975,伪,40,193,5,47
-28.000391828,120.845468354,伪,32,457,12,-28
22.821729018,149.441,伪,39,288,7,28.5
47.569549626,78.066164557,伪,41,173,4,54
9.228777377,135.654987342,伪,30,587,16,-60
-34.471862341,-3.564810127,伪,35,360,9,6
28.602004082,68.647569620,伪,39,261,7,28.5
53.916310090,81.370936709,伪,41,146,4,54
-14.610999994,-67.738075949,伪,41,169,4,54
9.606240472,33.870164557,伪,41,156,4,54
-2.106318648,56.196784810,伪,33,374,10,-5.8
17.984540565,170,伪,39,332,8,18
28.489667680,90.588253165,伪,39,270,7,28.5
-9.825065211,43.376949367,伪,40,203,5,47
17.200948717,-26.255658228,伪,31,485,13,-37.5
9.725974503,45.706329114,伪,53,30,1,70
69.999678779,116.008708861,伪,53,15,1,70
25.118995894,147.653873418,伪,39,254,6,38
-16.911627857,47.818810127,伪,39,324,8,18
21.981794133,-14.897544304,伪,42,99,3,60.5
37.999997318,140.387379747,伪,39,235,6,38
60.446222499,94.749974684,伪,42,117,3,60.5
-21.036308453,148.187911392,伪,30,557,15,-54
18.976728816,13.693746835,伪,30,511,14,-46.5
28.878698955,22.693772152,伪,33,406,11,-17.5
-29.192005927,-17.863569620,伪,30,582,16,-60
20.476000006,-77.238987342,伪,43,71,2,65.5
25.443707332,6.095189873,伪,30,507,14,-46.5
14.987610543,123.857531646,伪,33,396,10,-5.8
34.031013751,158.299493671,伪,39,255,6,38
19.415033241,-31.280367089,伪,53,11,1,70
65.499999010,146.187063291,伪,43,65,2,65.5
12.136050475,127.493670886,伪,39,334,8,18
-11.880133532,30.226012658,伪,33,424,11,-17.5
-27.147582138,17.864506329,伪,30,580,16,-60
18.977361151,26.898556962,伪,30,509,14,-46.5
46.999999865,170,伪,40,203,5,47
60.499977391,134.166734177,伪,42,113,3,60.5
3.470667133,145.627962025,伪,33,437,11,-17.5
-37.499951436,131.396911392,伪,31,488,13,-37.5
19.339943238,-20.648810127,伪,35,346,9,6
-37.499952426,125.828962025,伪,31,483,13,-37.5
23.988409514,-12.300151899,伪,30,501,14,-46.5
-13.831999649,-48.094303797,伪,42,120,3,60.5
18.605214788,41.404962025,伪,39,285,7,28.5
15.030967766,-25.472974684,伪,33,416,11,-17.5
-2.098095692,57.894822785,伪,33,378,10,-5.8
15.247730468,119.962,真,33,436,11,-17.5
14.524139554,2.818772152,伪,53,20,1,70
